"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-2052",1.51201511943232,0.0610976102753831,0.155050192154456,0.394050529228108,0.693543734038351,0.935142586862017
"hsa-miR-2053",2.68567087469361,0.535063239521659,0.162945496282151,3.28369455879383,0.00102455897907561,0.128780939019313
"hsa-miR-2054",4.2702715923408,0.136698384039753,0.179418692706706,0.761895998558036,0.446122078396797,0.911730214791225
"hsa-miR-206",3.0330839223361,0.262385379003901,0.175858294637301,1.49202731406589,0.135691984993496,0.779067322854523
"hsa-miR-208a",3.2914688724862,-0.0598030102404702,0.189134175957554,-0.316193569658671,0.751855588239618,0.947535460713889
"hsa-miR-208b",1.9948225824132,0.412980743305113,0.162215198155548,2.54588193955234,0.0109002046723019,0.432615189741607
"hsa-miR-20a-5p+hsa-miR-20b-5p",885.619904293927,-0.0605766842115026,0.153700357947873,-0.39412194623546,0.693491008881303,0.935142586862017
"hsa-miR-21-5p",316.044337817082,-0.193428247642118,0.252866141509549,-0.764943248184192,0.444305339376066,0.911730214791225
"hsa-miR-210",27.9117497446401,0.383160923403296,0.162338853299021,2.36025397258122,0.018262427475934,0.471288450991845
"hsa-miR-211-5p",2.44165717638782,0.191477557228995,0.16196133395168,1.18224240661121,0.237109530622785,0.876517196224673
"hsa-miR-2110",82.500696951295,0.212132774717013,0.144491857063612,1.46812961663038,0.142069018100984,0.783603177659705
"hsa-miR-2113",6.06629454183912,0.0523797210199694,0.156451019053281,0.334799487641119,0.737776347034586,0.944729475016529
"hsa-miR-2114-5p",1.49110298278023,-0.00776168866989083,0.154114375779552,-0.0503631710580542,0.959832984361489,0.991108791263898
"hsa-miR-2115-5p",1.9350947871116,-0.0194486207745885,0.147944240294827,-0.131459127681015,0.895412117306966,0.988467499393065
"hsa-miR-2116-5p",23.1329217798698,-0.000445002332553106,0.119129556658285,-0.00373544857410629,0.997019550186371,0.999398405571413
"hsa-miR-2117",7.28674683423031,-0.12647339575814,0.168879445639385,-0.748897506616669,0.453918983270194,0.911730214791225
"hsa-miR-212-3p",4.38249519718563,0.386891333273869,0.183526129823853,2.10809944962717,0.0350223880488302,0.564434140172484
"hsa-miR-214-3p",3.22580010722698,0.16246344305931,0.18070182267796,0.899069199478118,0.368615802738984,0.911730214791225
"hsa-miR-215",15.135289552597,0.0934413357618736,0.140362918627966,0.665712402358496,0.505594944632949,0.911730214791225
"hsa-miR-216a",8.69374638268099,0.15660873366411,0.172177365366533,0.909577942087337,0.36304513577583,0.911730214791225
"hsa-miR-216b",8.39168478243727,0.434815725306254,0.161856047175975,2.68643484684578,0.007221903137467,0.36109515687335
"hsa-miR-217",3.73036732312109,0.17087860889286,0.187734774281354,0.910212876367634,0.362710254752488,0.911730214791225
"hsa-miR-218-5p",5.1402516040426,0.344814217625749,0.202172541179309,1.70554426241262,0.0880929645208063,0.705302446140069
"hsa-miR-219-1-3p",52.9815078389887,-0.0130843807977881,0.0960989359389678,-0.136155313999501,0.89169850037325,0.988031579360942
"hsa-miR-219-2-3p",9.27311482943743,-0.112042776667138,0.147880210364911,-0.757659029498677,0.448655132081381,0.911730214791225
"hsa-miR-219-5p",186.244690814673,-0.0436416752449712,0.0808375853954341,-0.539868614722827,0.589287643662829,0.911730214791225
"hsa-miR-22-3p",3808.93893114561,0.0265830626729891,0.117323922735747,0.226578365717136,0.820751616462072,0.967012213799201
"hsa-miR-221-3p",51.4202394706134,0.00476344244672595,0.132681683770815,0.0359012812571327,0.971361074232103,0.996267768443183
"hsa-miR-222-3p",1422.54225402638,-0.0897225288374681,0.10342905068944,-0.867478993951827,0.385679616416109,0.911730214791225
"hsa-miR-223-3p",94368.5903884486,0.0314087381885957,0.0928133712357697,0.338407470501308,0.735056145239194,0.944729475016529
"hsa-miR-224-5p",20.7351980556578,0.0764238154317242,0.109941629150579,0.695130825531538,0.4869733182818,0.911730214791225
"hsa-miR-2276",6.83105002000735,0.0104106719887273,0.143147593160765,0.0727268391934149,0.94202349051006,0.991108791263898
"hsa-miR-2277-3p",1.64480738366203,-0.0870949514110136,0.151901161154584,-0.573365935777017,0.566396949686626,0.911730214791225
"hsa-miR-2277-5p",2.30199739748331,-0.162668928161151,0.167842368615561,-0.969176790716889,0.332456988986697,0.911730214791225
"hsa-miR-2278",46.1342439628455,-0.142565301928944,0.0962635781489568,-1.48098901651402,0.13860950034705,0.780898593504504
"hsa-miR-23a-3p",2207.92201825395,0.152566886422138,0.092301884986651,1.65291192530037,0.0983487897490908,0.740976842052861
"hsa-miR-23b-3p",223.371888931233,0.143825967347499,0.100412526481549,1.43235084692274,0.152043438059085,0.78641097461872
"hsa-miR-23c",9.10846123093386,0.333280940164654,0.1908747601896,1.7460712973973,0.08079856359223,0.705302446140069
"hsa-miR-24-3p",55.1012483098627,-0.13905772023518,0.125439233627194,-1.10856640473794,0.267617277651797,0.893125237514716
"hsa-miR-25-3p",42036.1233945707,0.0424444087549628,0.1103263493814,0.384716878542148,0.700447188662067,0.935142586862017
