"","Anln","Asrgl1","Atraid","Bhlhe41","Car2","Cd209c","Chdh","Cldn14","Fads1","Gdf10","Gm21168","Gm5067","Gm6089","Hey1","Il17rb","Il33","Nrf1","Nudt4","P4ha3","Plpp3","Plxnb3","Rrs1","Slc45a3","Teddm2","Tlcd1","Tmc3","Tmem40","Wnt10b","mmu-miR-135b-5p","mmu-miR-212-3p","mmu-miR-221-3p","Samples"
"male_Q140_10m_4R",2070.39941478756,6694.35896885079,1352.24227922769,1460.6242446789,5692.58547510084,214.738099772487,362.623772257313,20.2583112992912,7674.86123573648,218.789762032345,18.2324801693621,55.7103560730509,68.8782584175902,1540.6445743111,81.0332451971649,1906.30709326331,768.802913808102,8065.84664381281,86.0978230219878,7738.67491632925,1340.08729244812,841.732834485551,54.6974405080863,114.459458840995,683.718006351079,86.0978230219878,44.5682848584407,75.9686673723421,190.219923429401,1112.67196174668,7061.05522995162,"HD"
"female_Q175_6m_1R",1481.64103914056,6577.7312374584,1697.12386542745,1352.66591683745,4809.82834149875,279.183953765869,316.932770049705,33.8166479209363,7770.75111876212,244.580872172353,24.3794438499773,53.4774897354341,62.9146938063931,1463.55306467122,81.0026682757311,1659.37504914362,676.332958418726,5792.08399855106,125.042953940206,8419.55889864055,1335.36437604069,738.461218552539,44.0402856644751,117.965050886987,880.019279616923,379.061030183518,55.8367907531739,89.6534386741101,207.805114256184,856.445355287049,6429.94668562633,"HD"
"female_Q175_6m_2R",1369.71313108935,6551.06361944113,1655.17751245888,1328.44117233712,4886.42794976821,242.4727576693,347.372319497863,36.9727963821983,7808.13869643587,250.211249935342,12.0376546360646,49.8702834922674,63.6276030763412,1485.79051507997,96.3012370885164,1508.14615940409,763.531236916095,5482.2918542534,131.554368522706,8201.08213705598,1485.79051507997,723.119110637878,63.6276030763412,125.535541204673,846.075154420537,318.138015381706,61.907938128332,74.8054252384012,174.818808508347,846.491072777257,6030.09876979777,"HD"
"female_Q175_6m_3R",1409.31578718494,6333.04861027241,1473.75766214568,1425.19277087092,4756.55752427627,232.551113988767,381.981548680344,26.150326071026,7736.76075615641,311.002092201845,25.2163858542037,62.573994527098,75.649157562611,1445.73945564101,93.3940216822358,1491.50252626531,721.935787603683,5414.05143691921,143.826793390643,8445.62138072458,1560.61410231016,701.389102833591,56.0364130093415,118.610407536439,867.630461427971,362.368804127075,73.7812771289663,100.865543416815,170.426926236786,820.911377522229,6100.24318415489,"HD"
"female_Q175_6m_4R",1920.08145712517,6546.46909561111,1416.64546531796,1412.14246002452,5174.8536832276,257.571902785084,384.556652060248,37.8252444649424,8217.98466053809,277.385126076245,24.3162285846059,67.5450794016829,65.7438772843047,1343.69677956415,107.171525984004,1803.00331949559,744.79707553589,5554.00672893571,127.885350333853,8517.88481308156,1594.06387387972,709.673634247015,53.1354624626572,143.195568331568,861.875213165474,370.147035121222,54.0360635213463,94.5631111623561,171.416612772254,874.815816906676,6058.69062384691,"HD"
"male_Q175_6m_1R",1548.08874168107,6850.10203061586,1420.35235536009,1061.9278683699,5050.35354275018,238.314153583908,375.583106048239,47.6628307167816,8361.96702095217,251.659746184607,19.0651322867127,64.821449774823,78.1670423755219,1355.53090558527,62.9149365461518,1590.03203271184,833.146280929343,5559.39257480541,146.801518607687,9101.69415367662,1508.05196387897,693.970815236341,66.7279630034943,162.053624437058,857.93095290207,436.59152936572,45.7563174881104,68.6344762321656,157.014370434665,809.51720325896,8135.600882462,"HD"
"male_Q175_6m_2R",1363.86217981752,6795.92118695591,1986.51244759938,1187.22952613329,5601.43278464381,192.76348963713,334.714846022632,22.5831703340571,8147.68523980875,240.349455698179,6.45233438115918,17.7439195481877,5.64579258351428,1488.06961665484,75.8149289786204,1520.33128856063,797.669837870804,5954.69809201228,134.692480206698,9005.03917070528,1346.92480206698,708.14369833222,72.5887617880408,123.400895039669,837.190385955403,321.003635462669,74.2018453833306,75.8149289786204,214.422662141417,738.95121737983,6673.61715664873,"HD"
"male_Q175_6m_4R",1568.91561081556,6353.78653636084,1478.84312700775,1170.94228950148,4721.45254408877,239.886921161606,373.157432918053,45.036241903903,7926.37857508692,313.41547937206,18.3821395526135,51.4699907473177,86.3960558972833,1489.87241073932,71.6903442551925,1563.40096894977,766.535219343981,5603.79524261421,158.086400152476,8329.86653826679,1555.1290061511,721.498977440078,46.8744558591643,140.623367577493,841.901991509697,354.77529336544,64.3374884341471,90.9915907854366,198.213006033914,721.085246088893,5944.11187060323,"HD"
"female_Q175_10m_1R",1848.04984229986,6249.1800359762,1935.04069420888,1611.35380338461,5100.09157355002,153.751273141532,353.021015305227,33.3802106162536,7074.58160757811,179.039311487178,7.08065073678107,16.1843445412139,8.09217227060693,1360.49646299579,67.7719427663331,1949.20199568244,656.477475452987,8128.58704582466,120.371062525278,7542.91607773949,1348.35820458988,639.281609377948,53.6106412927709,109.244325653194,682.77703533246,141.613014735621,61.7028135633779,91.036938044328,157.060001612855,1133.13045066055,6313.81206483678,"HD"
"female_Q175_10m_2R",2216.89086749814,6267.15597430214,1502.03051757409,1766.55630647045,5459.84889538663,192.215971170359,362.464402778392,30.2053668981993,7292.30782054406,184.893457982917,13.7297122264542,25.6287961560479,6.40719903901198,1316.22174544275,72.3098177259923,2040.2352368511,649.873045385501,8151.7878059201,80.5476450618649,7165.07915391225,1564.27187966735,663.602757611955,62.2413620932592,139.127750561403,745.06571682225,108.922383663204,38.4431942340719,108.922383663204,163.447084825997,1043.12296832771,6021.83136117352,"HD"
