"","Run","Sex","age","genotype","Name","Repeated","filename","Files"
"99","SRR1794371","female","2m","Q80","female_Q80_2m","female_Q80_2m_3R","SRR1794371_female_Q80_2m_3R","SRR1794371_female_Q80_2m_3R"
"100","SRR1794372","male","2m","Q80","male_Q80_2m","male_Q80_2m_1R","SRR1794372_male_Q80_2m_1R","SRR1794372_male_Q80_2m_1R"
"101","SRR1794373","male","2m","Q80","male_Q80_2m","male_Q80_2m_2R","SRR1794373_male_Q80_2m_2R","SRR1794373_male_Q80_2m_2R"
"102","SRR1794374","male","2m","Q80","male_Q80_2m","male_Q80_2m_3R","SRR1794374_male_Q80_2m_3R","SRR1794374_male_Q80_2m_3R"
"103","SRR1794375","male","2m","Q80","male_Q80_2m","male_Q80_2m_4R","SRR1794375_male_Q80_2m_4R","SRR1794375_male_Q80_2m_4R"
"104","SRR1794376","male","2m","Q80","male_Q80_2m","male_Q80_2m_5R","SRR1794376_male_Q80_2m_5R","SRR1794376_male_Q80_2m_5R"
"105","SRR1794377","female","6m","Q80","female_Q80_6m","female_Q80_6m_1R","SRR1794377_female_Q80_6m_1R","SRR1794377_female_Q80_6m_1R"
"106","SRR1794378","female","6m","Q80","female_Q80_6m","female_Q80_6m_2R","SRR1794378_female_Q80_6m_2R","SRR1794378_female_Q80_6m_2R"
"107","SRR1794379","female","6m","Q80","female_Q80_6m","female_Q80_6m_3R","SRR1794379_female_Q80_6m_3R","SRR1794379_female_Q80_6m_3R"
"108","SRR1794380","female","6m","Q80","female_Q80_6m","female_Q80_6m_4R","SRR1794380_female_Q80_6m_4R","SRR1794380_female_Q80_6m_4R"
"109","SRR1794381","male","6m","Q80","male_Q80_6m","male_Q80_6m_1R","SRR1794381_male_Q80_6m_1R","SRR1794381_male_Q80_6m_1R"
"110","SRR1794382","male","6m","Q80","male_Q80_6m","male_Q80_6m_2R","SRR1794382_male_Q80_6m_2R","SRR1794382_male_Q80_6m_2R"
"111","SRR1794383","male","6m","Q80","male_Q80_6m","male_Q80_6m_3R","SRR1794383_male_Q80_6m_3R","SRR1794383_male_Q80_6m_3R"
"112","SRR1794384","male","6m","Q80","male_Q80_6m","male_Q80_6m_4R","SRR1794384_male_Q80_6m_4R","SRR1794384_male_Q80_6m_4R"
"113","SRR1794385","female","10m","Q80","female_Q80_10m","female_Q80_10m_1R","SRR1794385_female_Q80_10m_1R","SRR1794385_female_Q80_10m_1R"
"114","SRR1794386","female","10m","Q80","female_Q80_10m","female_Q80_10m_2R","SRR1794386_female_Q80_10m_2R","SRR1794386_female_Q80_10m_2R"
"115","SRR1794387","female","10m","Q80","female_Q80_10m","female_Q80_10m_3R","SRR1794387_female_Q80_10m_3R","SRR1794387_female_Q80_10m_3R"
"116","SRR1794388","female","10m","Q80","female_Q80_10m","female_Q80_10m_4R","SRR1794388_female_Q80_10m_4R","SRR1794388_female_Q80_10m_4R"
"117","SRR1794389","male","10m","Q80","male_Q80_10m","male_Q80_10m_1R","SRR1794389_male_Q80_10m_1R","SRR1794389_male_Q80_10m_1R"
"118","SRR1794390","male","10m","Q80","male_Q80_10m","male_Q80_10m_2R","SRR1794390_male_Q80_10m_2R","SRR1794390_male_Q80_10m_2R"
"119","SRR1794391","male","10m","Q80","male_Q80_10m","male_Q80_10m_3R","SRR1794391_male_Q80_10m_3R","SRR1794391_male_Q80_10m_3R"
"120","SRR1794392","male","10m","Q80","male_Q80_10m","male_Q80_10m_4R","SRR1794392_male_Q80_10m_4R","SRR1794392_male_Q80_10m_4R"
