"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"Cd59a",-0.318545694194065,0.00100468653535657,-0.168383186894381,0.054577915580178,-0.218173299535719,0.00917856171529255,-0.0962096750908864,0.0769087550682903,-0.0750954157862613,0.0829990307429714,9.99691093456154e-06,0.997636213866355
"Cdh19",-0.0327089618473921,0.218204448720311,-0.00244806601172943,0.921366581611471,-0.0368322729203701,0.169011573305011,-0.00807823892370042,0.838735180927206,-0.146842797379242,0.0180821592509003,4.3941346860268e-05,0.997636213866355
"Ceacam1",0.0271161843839419,0.227417246219389,0.0024738988513219,0.921366581611471,0.128235405477603,0.0226864725924701,0.00641685852472819,0.906672136146787,0.0257813935952135,0.253928215442291,0.0014765192631499,0.795809804030791
"Cela1",6.40121210848847e-05,0.999899773256004,-0.00243201001691078,0.921366581611471,-0.00131144155034189,0.997778888080173,-0.164720287778947,0.0393678958952235,-0.0478898385386704,0.138318259622274,1.59898174069352e-05,0.997636213866355
"Cgref1",-0.0163947674845313,0.234937051069081,-0.00533901821088889,0.707307251357422,-0.122225039319879,0.0111695690997429,-0.0149941844361251,0.733022357818355,-0.14707575369186,0.00160360518376363,-0.000103893932427184,0.997636213866355
"Chrdl1",-0.0312263758284821,0.172351228100977,-0.00193373881585619,0.921366581611471,-0.0288793023909545,0.193844018361508,-0.0194186037241361,0.586736084017113,-0.0989279309485554,0.02521386026546,-0.000867480185846983,0.84887995995706
"Ciart",-0.294808837009439,0.00349356048063876,-0.00800349418717913,0.699357248258553,-0.32307955546828,0.000908484540000729,-0.740715604619963,5.24688268001377e-07,-0.171721706893146,0.0170560542448348,-0.000772800719969681,0.939356191823549
"Cldn5",0.171310275019292,0.0325971942859171,0.00170285594145142,0.921366581611471,0.349555886144426,0.000797524377244083,0.0472183755712699,0.165523347243063,0.0960002890934997,0.0554237065745309,0.000710415148500794,0.939356191823549
"Clec18a",-0.0667312757118922,0.104476732982561,-0.000759542390558089,0.921366581611471,-0.038622586831972,0.164021846029618,-0.0931948953343823,0.0769087550682903,-0.143784711917559,0.017382841303824,-0.00113625048332363,0.860652348706983
"Cnnm1",0.000605253851066257,0.757418684440361,0.00395024181366785,0.921366581611471,0.0039441592992683,0.809965486878315,0.00933928673117204,0.902114734328764,0.0457511693044187,0.0341067039264293,-4.36932962560495e-05,0.997636213866355
"Col4a1",0.0134320344822088,0.314038599785882,0.00619275991601703,0.699357248258553,0.045510916806056,0.12962486662458,0.035619446178095,0.278273296053455,0.11784684862626,0.0215386294314579,7.147136017768e-05,0.997636213866355
"Col4a2",0.00124934958070525,0.919399779864097,0.00178964925009306,0.921366581611471,0.0730287184621116,0.0788006992178305,0.0295642061302433,0.343883216840877,0.119564414302669,0.0274521859667748,9.33404407995298e-05,0.997636213866355
"Col6a1",-0.000427092666466099,0.999899773256004,0.00141641323957428,0.921366581611471,-0.00565171728922998,0.665782783187937,-0.0111265918982967,0.80468178526851,-0.111973369846387,0.0215386294314579,-0.000193972598354314,0.993129867131983
"Colgalt1",-0.00207733440387557,0.584251729661185,-0.000618479487571886,0.956604407440691,-0.084037462073871,0.0226864725924701,-0.15116325713898,0.00756980794074701,-0.0549861264071707,0.0506549736636391,7.84657282249093e-05,0.997636213866355
"Cpeb1",-8.2468058522772e-05,0.999899773256004,0.00203664379740314,0.921366581611471,-0.00798981736674905,0.511335761225287,-0.157725411550377,0.00478081355047442,-0.0265358777940111,0.232532884060039,-0.000119355243330007,0.997636213866355
"Cracr2a",-0.000461676003243112,0.999899773256004,-0.000728057480878972,0.921366581611471,-0.00551497007771631,0.700479963851101,-0.0642773924592827,0.128105608787497,-0.128804511993795,0.030705861203198,-0.000126060190362924,0.997636213866355
"Crem",0.00171099488281765,0.865080491597949,0.00120669653799687,0.921366581611471,0.0287833323558469,0.217969471507729,0.0779330348975219,0.0998524515458222,0.100349545894999,0.0438080566905294,1.22400395880061e-05,0.997636213866355
"Crybg2",-2.17309824323024e-05,0.999899773256004,-0.000817854600275813,0.921366581611471,0.000359070808377205,0.997778888080173,-0.0324341123593712,0.284280326580136,-0.102901231541763,0.0453926913878347,0.000130506074576094,0.997636213866355
"Ctnnbl1",-4.79529017461528e-05,0.999899773256004,-0.000892350983412283,0.949439841700458,0.00225247811351383,0.980608646058023,0.0977544937234088,0.0260464322493906,0.00804513205190241,0.732884063270484,-2.17390503789643e-05,0.997636213866355
"Cxcl12",-0.00210011443961028,0.771328562482195,-0.000309112569788805,0.963636276453465,-0.000749914317079023,0.997778888080173,-0.0179843408901219,0.594008995203674,-0.12588658426206,0.0172290605781464,-6.19036816155525e-05,0.997636213866355
"Cyp4f13",-0.100144510522944,0.0427992927243699,-0.00582278266051275,0.699357248258553,-0.0144057591214482,0.367111997019797,-0.0219179345596864,0.505544401628083,-0.0716031556055778,0.0612088635874671,2.1554996962306e-05,0.997636213866355
"Cyp51",0.00244878213534541,0.680951948171375,0.0016512683103501,0.921366581611471,0.120680324874569,0.0213665181038431,0.044900677705841,0.21402063427414,0.160320173046982,0.00272395355569477,9.08928242598376e-06,0.997636213866355
"Dact1",0.000404187774516414,0.999899773256004,0.0017037321212825,0.921366581611471,0.00128183734720547,0.997778888080173,0.00304087465070457,0.957394982498445,0.110486420411811,0.0369738804386634,-4.50592008190786e-05,0.997636213866355
"Dbp",-0.33061683363895,2.68646541303362e-06,-0.0889763539353479,0.0964327237792694,-0.327597342661692,2.81213038083905e-06,-0.382586503380071,0.00163750278562262,-0.235247602247638,0.000600190326390291,-3.17858018315375e-05,0.997636213866355
"Dctd",-0.0133450993008558,0.255508081536479,-0.00780792759051738,0.572465682868307,-0.0118115126535196,0.389319444341993,-0.0388324103484586,0.267440191875959,-0.121510861623577,0.00365919461894151,1.44463180326494e-05,0.997636213866355
