"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"Pdzd7",0.0026529209472492,0.883835631385836,0.256561669746838,6.01351898131601e-07,0.00094794895153331,0.996246539640969
"Phykpl",0.00036919407554105,0.99227144727927,0.316427420520701,2.67337485392515e-08,0.000647568858781716,0.997993037617109
"Pigb",-0.000441454574494232,0.990542262954265,0.450652168987529,2.33086363575305e-11,0.000398648371289336,0.997993037617109
"Pkd2l2",3.72087214099255e-05,0.999274111864182,0.62517801220969,4.19057049038792e-07,0.00070730955526001,0.997993037617109
"Plk5",-5.21703297150896e-05,0.999014405822252,-0.0103748680984617,0.794571331809209,-0.176178086785774,0.0153409994856931
"Plpp3",0.00325548116218389,0.935824950507419,-0.0905918009350178,0.000664811568483821,-0.117545732110992,0.00104386536806062
"Plxnb3",0.00256659251085686,0.899754283612108,0.139783332353714,0.000485801567342514,0.216869284473639,0.000768040234022777
"Polq",0.000267413446241631,0.991209167305601,0.479755095578352,4.15133511065056e-08,0.00116334130108172,0.990904396582106
"Ppp1cb",-0.00412514692595244,0.895295696092599,-0.139611105377387,2.12686702226474e-07,-0.00163486886665191,0.992227801911817
"Preb",-0.000862291725620682,0.99227144727927,0.102306183020362,2.37896242987408e-08,-0.00225474708165338,0.986894709151733
"Qk",0.00283099629386122,0.940082333612597,-0.157757018679863,2.24239981235369e-07,-0.0051734645708054,0.733191198620577
"Rab3gap1",0.000141657344990682,0.998375802679239,0.311891416009813,1.35572536134699e-11,0.000503144942257494,0.997993037617109
"Rapgefl1",0.00341538550487208,0.941985376238441,0.0136541899680285,0.649263319198146,-0.0848644718771386,0.00703382088057083
"Rarb",-0.000937087050335078,0.966580649173149,-0.413150278253638,9.54390197496965e-07,4.90155680182823e-05,0.998896051182073
"Rasa4",-0.00300490715564845,0.853371016483873,0.036971377207893,0.36045141171143,-0.114728196140171,0.0371152208669426
"Rbm4b",-2.98413965089629e-05,0.999274111864182,0.484886272045609,2.52197873642159e-13,0.000823005279887537,0.997993037617109
"Rfc5",-0.00178345367372406,0.951733237540887,0.247145509100129,1.37344641527367e-07,-0.00395039614985159,0.829024907474306
"Rgs14",0.00197767986437475,0.958292999219919,0.0316253174699783,0.381662543826999,-0.0830180242926052,0.0420000699667977
"Rnf103",-0.00223707414307959,0.968296347191582,-0.130733355119037,7.06335110428441e-08,0.00152361655583385,0.9929639004171
"Rpl5",-0.00167399591819473,0.950331756291037,-0.423160966495624,2.60867858192147e-14,-0.000832892473146284,0.997993037617109
"Rpl9-ps7",-0.000264422464845222,0.992990614657509,-0.432819370744551,1.85247321516037e-07,0.000903575643506596,0.993197383843227
"Rrs1",0.191350515509887,0.00058622601681995,0.0805596196619517,0.0179566442940921,0.135608505489125,0.00703382088057083
"Sav1",0.000303174347223972,0.995580113626721,-0.314319939410717,5.10825567542049e-14,0.00217792567782756,0.960690425370109
